Nbre_de_piece,Prix,Adresse,Image_URL
4,400000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5336839_uploaded_image1_1747742202.jpg
2,2500000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5376503_uploaded_image1_1750063512.jpg
3,3500000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5376495_uploaded_image1_1750063113.jpg
3,450000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5375607_uploaded_image1_1749998534.jpg
4,450000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5338348_uploaded_image1_1747826532.jpg
3,650000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334186_uploaded_image1_1747586331.jpg
4,800000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334182_uploaded_image1_1747586111.jpg
4,1400000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334173_uploaded_image1_1747585627.jpg
3,600000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334167_uploaded_image1_1747585339.jpg
3,850000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334174_uploaded_image1_1747585784.jpg
3,750000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5337036_uploaded_image1_1747751593.jpg
2,175000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374086_uploaded_image1_1749896937.jpg
4,375000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5347405_uploaded_image1_1748335406.jpg
5,700000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5328403_uploaded_image1_1747259900.jpg
2,300000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5328397_uploaded_image1_1747259754.jpg
3,415000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5328389_uploaded_image1_1747259511.jpg
4,650000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5331835_uploaded_image1_1747418936.jpg
4,375000CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329398_uploaded_image1_1747312877.jpg
4,500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335531_uploaded_image1_1747664585.jpg
2,300000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335456_uploaded_image1_1747662387.jpg
3,750000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5372805_uploaded_image1_1749817733.jpg
3,350000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5372686_uploaded_image1_1749813085.jpg
4,500000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5372553_uploaded_image1_1749810034.jpg
5,450000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332410_uploaded_image1_1747470295.jpg
5,450000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332407_uploaded_image1_1747470060.jpg
3,250000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5372125_uploaded_image1_1749781256.jpg
3,1100000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5372092_uploaded_image1_1749776223.jpg
4,350000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327792_uploaded_image1_1747237776.jpg
2,250000CFA,"Damel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371571_uploaded_image1_1749748865.jpg
4,370000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371441_uploaded_image1_1749742891.jpg
3,500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371421_uploaded_image1_1749741499.jpg
4,1200000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5331396_uploaded_image1_1747403717.jpg
3,800000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5331374_uploaded_image1_1747402600.jpg
4,700000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5331312_uploaded_image1_1747400676.jpg
4,300000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371182_uploaded_image1_1749732232.jpg
4,30000000CFA,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330804_uploaded_image1_1747389352.jpg
4,800000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5370853_uploaded_image1_1749722591.jpg
3,950000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330793_uploaded_image1_1747388330.jpg
4,365000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330798_uploaded_image1_1747390108.jpg
3,400000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5370454_uploaded_image1_1749687632.jpg
2,325000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330363_uploaded_image1_1747348001.jpg
3,300000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5370414_uploaded_image1_1749682801.jpg
4,149000000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348520_uploaded_image1_1748378836.jpg
3,550000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330106_uploaded_image1_1747336928.jpg
4,650000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330070_uploaded_image1_1747335846.jpg
5,700000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330058_uploaded_image1_1747335186.jpg
5,1450000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330055_uploaded_image1_1747335103.jpg
3,150000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5369890_uploaded_image1_1749657524.jpg
4,300000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369765_uploaded_image1_1749654187.jpg
4,425000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369493_uploaded_image1_1749644292.jpg
4,800000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369217_uploaded_image1_1749635796.jpg
3,300000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5328332_uploaded_image1_1747257104.jpg
4,280000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5368626_uploaded_image1_1749590217.jpg
2,600000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327881_uploaded_image1_1747241281.jpg
4,500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327863_uploaded_image1_1747240950.jpg
4,1300000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327851_uploaded_image1_1747240492.jpg
4,700000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327842_uploaded_image1_1747240084.jpg
4,700000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327845_uploaded_image1_1747240251.jpg
5,150000000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5367897_uploaded_image1_1749558036.jpg
5,220000000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5367868_uploaded_image1_1749556523.jpg
4,300000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5367402_uploaded_image1_1749534295.jpg
3,475000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5367362_uploaded_image1_1749529362.jpg
3,160000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5367277_uploaded_image1_1749514117.jpg
4,1800000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5367061_uploaded_image1_1749502437.jpg
5,1500000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322513_uploaded_image1_1746977047.jpg
4,350000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322020_uploaded_image1_1746919251.jpg
4,38000000CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5365787_uploaded_image1_1749422866.jpg
4,2500000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5324499_uploaded_image1_1747074519.jpg
3,225000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5365508_uploaded_image1_1749407808.jpg
3,120000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5323962_uploaded_image1_1747057700.jpg
4,1000000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5321012_uploaded_image1_1746868343.jpg
3,500000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323670_uploaded_image1_1747049827.jpg
4,550000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323676_uploaded_image1_1747050043.jpg
4,180000000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323634_uploaded_image1_1747048633.jpg
Non spécifié,Prixsurdemande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323625_uploaded_image1_1747048356.jpg
3,250000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323615_uploaded_image1_1747047983.jpg
6,1200000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323568_uploaded_image1_1747045889.jpg
5,1000000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323576_uploaded_image1_1747046124.jpg
3,300000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322679_uploaded_image1_1746987415.jpg
3,350000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5319804_uploaded_image1_1746797592.jpg
4,650000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322442_uploaded_image1_1746970045.jpg
1,180000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5321769_uploaded_image1_1746903508.jpg
1,170000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5321775_uploaded_image1_1746903907.jpg
3,1200000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5363406_uploaded_image1_1749238532.jpg
1,160000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5321763_uploaded_image1_1746903200.jpg
4,400000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5318279_uploaded_image1_1746722100.jpg
3,1200000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5331606_uploaded_image1_1747409604.jpg
3,25000CFA,"Djily MBaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5363183_uploaded_image1_1749224000.jpg
4,1900000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5331530_uploaded_image1_1747407344.jpg
2,215000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5321454_uploaded_image1_1746885834.jpg
4,38000000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5362833_uploaded_image1_1749202044.jpg
3,85000000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5362617_uploaded_image1_1749177076.jpg
4,425000CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320290_uploaded_image1_1746813485.jpg
2,200000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5362136_uploaded_image1_1749142854.jpg
3,825000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5323753_uploaded_image1_1747052859.jpg
1,35000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361883_uploaded_image1_1749128429.jpg
1,45000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361864_uploaded_image1_1749127268.jpg
3,200000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361769_uploaded_image1_1749123416.jpg
3,4500000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360381_uploaded_image1_1749048725.jpg
3,400000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5317600_uploaded_image1_1746704398.jpg
2,225000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5317583_uploaded_image1_1746704117.jpg
1,170000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5317419_uploaded_image1_1746699817.jpg
1,180000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5317401_uploaded_image1_1746699470.jpg
3,350000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5317382_uploaded_image1_1746698975.jpg
2,250000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5317371_uploaded_image1_1746698674.jpg
4,90000CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5359899_uploaded_image1_1749032968.jpg
2,225000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322297_uploaded_image1_1746956684.jpg
3,400000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322290_uploaded_image1_1746956408.jpg
2,250000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322269_uploaded_image1_1746955061.jpg
4,600000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322273_uploaded_image1_1746955275.jpg
3,350000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322266_uploaded_image1_1746954835.jpg
3,290000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5322261_uploaded_image1_1746954599.jpg
2,375000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5358958_uploaded_image1_1748974665.jpg
4,500000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313031_uploaded_image1_1746460361.jpg
4,900000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5316331_uploaded_image1_1746631386.jpg
4,800000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5316270_uploaded_image1_1746629965.jpg
2,200000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5316233_uploaded_image1_1746628859.jpg
